God	Time	Kills	Deaths	Assists
Kali	30	0.27	0.17	0.22
Kali	40	0.32	0.21	0.26
Loki	5	0.14	0.14	0.13
Loki	10	0.17	0.17	0.14
Loki	20	0.22	0.22	0.15
Loki	30	0.16	0.20	0.18
Loki	40	0.25	0.20	0.22
Mercury	5	0.11	0.19	0.13
Mercury	10	0.15	0.19	0.17
Mercury	20	0.25	0.18	0.24
Mercury	30	0.25	0.21	0.22
Mercury	40	0.19	0.20	0.20
Ne Zha	5	0.17	0.12	0.08
Ne Zha	10	0.19	0.14	0.11
Ne Zha	20	0.22	0.19	0.18
Ne Zha	30	0.28	0.21	0.22
Ne Zha	40	0.24	0.23	0.25
Neith	5	0.16	0.12	0.09
Neith	10	0.17	0.14	0.13
Neith	20	0.19	0.18	0.21
Neith	30	0.19	0.21	0.23
Neith	40	0.18	0.20	0.21
Nemesis	5	0.21	0.13	0.12
Nemesis	10	0.23	0.13	0.16
Nemesis	20	0.27	0.15	0.23
Nemesis	30	0.27	0.19	0.24
Nemesis	40	0.26	0.19	0.25
Nu Wa	5	0.17	0.19	0.02
Nu Wa	10	0.17	0.18	0.08
Nu Wa	20	0.16	0.18	0.18
Nu Wa	30	0.20	0.17	0.21
Nu Wa	40	0.22	0.24	0.21
Odin	5	0.08	0.11	0.14
Odin	10	0.12	0.13	0.17
Odin	20	0.21	0.16	0.23
Odin	30	0.24	0.15	0.30
Odin	40	0.21	0.19	0.31
Poseidon	5	0.21	0.17	0.08
Poseidon	10	0.20	0.19	0.11
Poseidon	20	0.18	0.22	0.17
Poseidon	30	0.21	0.22	0.21
Poseidon	40	0.27	0.22	0.21
Ra	5	0.12	0.09	0.09
Ra	10	0.14	0.14	0.12
Ra	20	0.18	0.22	0.20
Ra	30	0.17	0.22	0.23
Ra	40	0.16	0.23	0.25
Sobek	5	0.05	0.16	0.12
Sobek	10	0.07	0.16	0.16
Sobek	20	0.11	0.17	0.23
Sobek	30	0.12	0.17	0.42
Sobek	40	0.12	0.16	0.36
Sun Wukong	5	0.08	0.12	0.06
Sun Wukong	10	0.10	0.12	0.11
Sun Wukong	20	0.14	0.14	0.22
Sun Wukong	30	0.14	0.15	0.23
Sun Wukong	40	0.13	0.15	0.23
Thanatos	5	0.23	0.17	0.13
Thanatos	10	0.25	0.19	0.15
Thanatos	20	0.31	0.23	0.19
Thanatos	30	0.34	0.24	0.20
Thanatos	40	0.27	0.24	0.20
Thor	5	0.13	0.11	0.09
Thor	10	0.15	0.17	0.12
Thor	20	0.20	0.28	0.19
Thor	30	0.18	0.27	0.20
Thor	40	0.14	0.25	0.25
Tyr	5	0.13	0.09	0.10
Tyr	10	0.15	0.12	0.12
Tyr	20	0.17	0.17	0.18
Tyr	30	0.21	0.14	0.20
Tyr	40	0.15	0.21	0.27
Vamana	5	0.04	0.05	0.08
Vamana	10	0.09	0.09	0.12
Vamana	20	0.17	0.17	0.19
Vamana	30	0.15	0.15	0.24
Vamana	40	0.23	0.14	0.30
Vulcan	5	0.10	0.18	0.07
Vulcan	10	0.12	0.19	0.11
Vulcan	20	0.16	0.20	0.18
Vulcan	30	0.16	0.22	0.23
Vulcan	40	0.18	0.21	0.23
Xbalanque	5	0.10	0.13	0.12
Xbalanque	10	0.13	0.16	0.15
Xbalanque	20	0.18	0.21	0.21
Xbalanque	30	0.25	0.21	0.31
Xbalanque	40	0.24	0.21	0.31
Ymir	5	0.14	0.14	0.14
Ymir	10	0.13	0.16	0.19
Ymir	20	0.12	0.18	0.27
Ymir	30	0.14	0.20	0.31
Ymir	40	0.16	0.16	0.33
Zeus	5	0.21	0.20	0.03
Zeus	10	0.22	0.19	0.09
Zeus	20	0.26	0.18	0.21
Zeus	30	0.26	0.26	0.21
Zeus	40	0.29	0.23	0.20
Zhong Kui	5	0.05	0.19	0.06
Zhong Kui	10	0.10	0.21	0.09
Zhong Kui	20	0.20	0.25	0.17
Zhong Kui	30	0.21	0.24	0.22
Zhong Kui	40	0.21	0.26	0.29
All Gods	5	0.13	0.14	0.10
All Gods	10	0.15	0.16	0.13
All Gods	20	0.19	0.20	0.21
All Gods	30	0.20	0.20	0.24
All Gods	40	0.20	0.21	0.25
