God	Time	Kills	Deaths	Assists	Player-Dam	Dam-Taken	Gold	Creep-Dam	Struct-Dam	Healing
Bakasura	10	0.27	0.19	0.10	330.35	584.25	448.58	1345.24	38.47	0.10
Bakasura	20	0.25	0.19	0.18	433.38	737.60	441.43	1737.66	46.70	0.10
Bakasura	30	0.27	0.21	0.21	636.08	877.80	458.68	2268.72	61.71	0.10
Bakasura	40	0.29	0.20	0.17	711.67	940.01	454.57	2293.46	63.10	0.10
Bastet	5	0.18	0.15	0.06	211.93	445.51	436.73	1525.17	3.39	0.10
Bastet	10	0.19	0.16	0.10	281.55	503.93	428.88	1589.47	10.10	0.10
Bastet	20	0.21	0.20	0.16	420.81	620.75	413.18	1718.08	23.53	0.10
Bastet	30	0.21	0.22	0.18	521.86	718.44	417.05	1994.34	23.58	0.10
Bastet	40	0.25	0.19	0.16	587.31	837.53	424.39	2200.41	44.68	0.10
Chaac	5	0.07	0.12	0.07	204.42	428.33	431.64	1566.73	14.16	0.10
Chaac	10	0.11	0.12	0.11	319.45	544.80	435.10	1727.79	26.13	0.10
Chaac	20	0.21	0.12	0.20	549.51	777.72	442.03	2049.92	50.08	0.68
Chaac	30	0.20	0.18	0.26	608.32	911.21	426.98	2040.40	39.46	1.20
Chaac	40	0.22	0.17	0.25	743.68	1030.78	417.14	2042.81	55.52	5.38
Chang'e	5	0.16	0.11	0.10	248.18	376.08	448.36	1688.08	28.65	23.04
Chang'e	10	0.16	0.13	0.14	330.13	458.78	438.90	1722.75	32.86	42.78
Chang'e	20	0.18	0.18	0.21	494.02	624.17	419.96	1792.11	41.30	82.26
Chang'e	30	0.16	0.19	0.31	603.61	750.71	420.87	1840.57	50.27	144.70
Chang'e	40	0.18	0.19	0.27	692.20	835.41	409.52	1931.12	38.60	144.48
Chronos	5	0.06	0.12	0.03	157.31	342.62	423.32	1628.94	18.35	0.10
Chronos	10	0.07	0.15	0.08	245.33	426.06	415.30	1651.71	31.77	0.10
Chronos	20	0.10	0.20	0.17	421.35	592.94	399.25	1697.24	58.63	1.40
Chronos	30	0.18	0.24	0.28	593.74	687.62	407.33	1681.86	55.80	0.10
Chronos	40	0.24	0.21	0.25	795.77	783.20	420.79	1812.74	44.25	0.10
Cupid	5	0.14	0.15	0.10	262.03	361.44	415.81	1074.82	15.44	23.61
Cupid	10	0.17	0.16	0.12	347.36	461.10	414.33	1216.64	33.17	23.52
Cupid	20	0.24	0.19	0.16	518.03	660.41	411.36	1500.29	68.65	23.34
Cupid	30	0.20	0.22	0.21	531.24	726.97	400.16	1562.91	59.70	23.46
Cupid	40	0.26	0.23	0.24	736.27	816.85	428.77	1788.70	73.03	35.78
Fenrir	5	0.19	0.15	0.11	215.05	474.03	444.80	1233.06	10.23	0.10
